Ball Number,Innings Number,Ball Type (as perceived),Prediction
0.3,1,Full,Full
1.3,1,Full,Full
1.4,1,Length,Length
1.6,1,Full,Full
6.1,1,Length,Length
6.2,1,Full,Length
7.3,1,Length,Full
7.4,1,Full,Full
9.5,1,Length,Length
14.1,1,Short,Length
14.2,1,Full,Full
14.4,1,Full,Full
15.4,1,Length,Length
20.2,1,Full,Full
23.1,1,Full,Length
23.4,1,Full,Full
24.2,1,Full,Full
24.3,1,Length,Full
24.4,1,Length,Length
26.1,1,Length,Short
29.2,1,Full,Length
29.4,1,Full,Full
34.3,1,Full,Full
37.4,1,Length,Length
38.2,1,Length,Full
40.2,1,Length,Length
44.5,1,Full,Full
45.2,1,Short,Length
45.6,1,Length,Length
48.5,1,Length,Short
49.6,1,Full,Length
50.3,1,Length,Length
51.4,1,Full,Full
52.1,1,Length,Length
54.1,1,Full,Full
54.2,1,Full,Length
56.4,1,Full,Full
56.5,1,Full,Length
57.6,1,Short,Short
58.1,1,Full,Length
59.1,1,Length,Short
59.3,1,Full,Full
59.4,1,Length,Length
1.2,2,Length,Length
6.4,2,Length,Length
13.1,2,Length,Full
14.5,2,Length,Length
14.6,2,Full,Full
15.4,2,Length,Length
18.2,2,Length,Length
18.3,2,Full,Full
19.5,2,Length,Full
19.6,2,Full,Full
25.4,2,Length,Length
27.5,2,Length,Short
29.3,2,Short,Short
29.4,2,Short,Short
30.3,2,Full,Length
32.3,2,Short,Length
33.3,2,Short,Short
35.6,2,Short,Short
36.4,2,Length,Length
36.5,2,Short,Length
38.5,2,Short,Short
38.6,2,Full,Full
40.1,2,Length,Short
42.6,2,Length,Length
44.3,2,Full,Full
45.6,2,Short,Short
50.2,2,Length,Full
50.3,2,Length,Length
55.3,2,Length,Length
59.2,2,Length,Length
2.3,3,Length,Full
5.4,3,Length,Length
7.1,3,Length,Length
9.3,3,Full,Full
9.6,3,Length,Full
17.1,3,Length,Length
19.1,3,Short,Length
22.2,3,Full,Length
23.6,3,Length,Length
25.5,3,Length,Full
26.5,3,Length,Length
28.6,3,Full,Full
38.3,3,Full,Length
40.4,3,Length,Short
40.5,3,Full,Full
42.6,3,Length,Length
43.1,3,Full,Full
43.3,3,Full,Full
46.1,3,Full,Full
48.2,3,Full,Full
48.4,3,Length,Full
52.6,3,Full,Length
53.2,3,Length,Length
59.1,3,Full,Full
59.2,3,Full,Length
60.6,3,Full,Length
61.4,3,Length,Length
66.3,3,Length,Short
69.2,3,Length,Length
72.4,3,Full,Full
75.5,3,Length,Length
75.6,3,Length,Short
76.4,3,Full,Full
77.2,3,Length,Length
79.1,3,Full,Full
1.3,4,Length,Full
4.6,4,Length,Length
6.2,4,Short,Short
9.6,4,Full,Full
14.4,4,Length,Length
14.5,4,Full,Length
15.5,4,Length,Short
16.3,4,Length,Length
17.4,4,Length,Length
17.5,4,Short,Short
18.5,4,Short,Length
19.2,4,Full,Full
21.6,4,Full,Length
23.3,4,Full,Full
27.6,4,Length,Short
32.4,4,Full,Full
37.2,4,Length,Length
37.4,4,Length,Length
37.5,4,Full,Full
38.3,4,Short,Short
41.5,4,Length,Short
58.4,4,Length,Length
60.6,4,Length,Length
62.1,4,Short,Short
62.4,4,Length,Length
63.1,4,Full,Length
63.2,4,Full,Length
63.3,4,Length,Full
66.5,4,Short,Length
68.5,4,Short,Short
69.1,4,Full,Full
69.4,4,Full,Full
69.5,4,Full,Full
71.1,4,Length,Length
73.3,4,Length,Length
73.4,4,Length,Short
76.2,4,Short,Short
77.6,4,Length,Length
78.3,4,Length,Length
80.4,4,Full,Length
81.5,4,Short,Length
81.6,4,Short,Short
82.1,4,Full,Full
82.4,4,Length,Short
82.6,4,Length,Length
83.1,4,Length,Length
83.4,4,Short,Length
84.4,4,Length,Full
84.5,4,Length,Length
84.6,4,Full,Full
85.1,4,Length,Length
85.2,4,Length,Short
85.3,4,Length,Length
