Generic ID,YouTube Video ID,Frame Number
v_g005_102821,zPiaMsckaWM,102821
v_g005_102827,zPiaMsckaWM,102827
v_g005_102834,zPiaMsckaWM,102834
v_g005_102852,zPiaMsckaWM,102852
v_g005_102853,zPiaMsckaWM,102853
v_g005_102880,zPiaMsckaWM,102880
v_g005_102881,zPiaMsckaWM,102881
v_g005_102884,zPiaMsckaWM,102884
v_g005_102886,zPiaMsckaWM,102886
v_g005_102888,zPiaMsckaWM,102888
v_g005_102896,zPiaMsckaWM,102896
v_g005_102899,zPiaMsckaWM,102899
v_g005_102901,zPiaMsckaWM,102901
v_g005_102904,zPiaMsckaWM,102904
v_g005_102905,zPiaMsckaWM,102905
v_g005_102906,zPiaMsckaWM,102906
v_g005_102907,zPiaMsckaWM,102907
v_g005_102908,zPiaMsckaWM,102908
v_g005_102910,zPiaMsckaWM,102910
v_g005_102919,zPiaMsckaWM,102919
v_g005_102920,zPiaMsckaWM,102920
v_g005_102921,zPiaMsckaWM,102921
v_g005_102923,zPiaMsckaWM,102923
v_g005_102945,zPiaMsckaWM,102945
v_g005_102947,zPiaMsckaWM,102947
v_g005_102948,zPiaMsckaWM,102948
v_g005_102950,zPiaMsckaWM,102950
v_g005_102953,zPiaMsckaWM,102953
v_g005_102958,zPiaMsckaWM,102958
v_g005_102970,zPiaMsckaWM,102970
v_g005_102983,zPiaMsckaWM,102983
v_g005_102988,zPiaMsckaWM,102988
v_g005_103001,zPiaMsckaWM,103001
v_g005_103015,zPiaMsckaWM,103015
v_g005_103589,zPiaMsckaWM,103589
v_g005_10359,zPiaMsckaWM,10359
v_g005_103591,zPiaMsckaWM,103591
v_g005_103598,zPiaMsckaWM,103598
v_g005_103599,zPiaMsckaWM,103599
v_g005_103605,zPiaMsckaWM,103605
v_g005_103609,zPiaMsckaWM,103609
v_g005_10370,zPiaMsckaWM,10370
v_g005_103704,zPiaMsckaWM,103704
v_g005_103705,zPiaMsckaWM,103705
v_g005_103706,zPiaMsckaWM,103706
v_g005_103720,zPiaMsckaWM,103720
v_g005_103729,zPiaMsckaWM,103729
v_g005_103739,zPiaMsckaWM,103739
v_g005_10374,zPiaMsckaWM,10374
v_g005_103742,zPiaMsckaWM,103742
v_g005_103753,zPiaMsckaWM,103753
v_g005_103759,zPiaMsckaWM,103759
v_g005_10391,zPiaMsckaWM,10391
v_g005_104013,zPiaMsckaWM,104013
v_g005_104014,zPiaMsckaWM,104014
v_g005_104017,zPiaMsckaWM,104017
v_g005_104018,zPiaMsckaWM,104018
v_g005_104024,zPiaMsckaWM,104024
v_g005_104028,zPiaMsckaWM,104028
v_g005_104054,zPiaMsckaWM,104054
v_g005_104056,zPiaMsckaWM,104056
v_g005_104061,zPiaMsckaWM,104061
v_g005_10430,zPiaMsckaWM,10430
v_g005_10440,zPiaMsckaWM,10440
v_g005_10446,zPiaMsckaWM,10446
v_g005_10463,zPiaMsckaWM,10463
v_g005_10466,zPiaMsckaWM,10466
v_g005_10471,zPiaMsckaWM,10471
v_g005_10480,zPiaMsckaWM,10480
v_g005_10493,zPiaMsckaWM,10493
