Generic ID,YouTube Video ID,Frame Number
v_g002_002382,-rgrgNqOaiw,2382
v_g002_002391,-rgrgNqOaiw,2391
v_g002_014773,-rgrgNqOaiw,14773
v_g002_014782,-rgrgNqOaiw,14782
v_g002_017802,-rgrgNqOaiw,17802
v_g002_017811,-rgrgNqOaiw,17811
v_g002_019796,-rgrgNqOaiw,19796
v_g002_019805,-rgrgNqOaiw,19805
v_g002_024536,-rgrgNqOaiw,24536
v_g002_024545,-rgrgNqOaiw,24545
v_g002_025153,-rgrgNqOaiw,25153
v_g002_025162,-rgrgNqOaiw,25162
v_g002_031543,-rgrgNqOaiw,31543
v_g002_031552,-rgrgNqOaiw,31552
v_g002_034184,-rgrgNqOaiw,34184
v_g002_034193,-rgrgNqOaiw,34193
v_g002_036698,-rgrgNqOaiw,36698
v_g002_036707,-rgrgNqOaiw,36707
v_g002_038787,-rgrgNqOaiw,38787
v_g002_038796,-rgrgNqOaiw,38796
v_g002_041181,-rgrgNqOaiw,41181
v_g002_041190,-rgrgNqOaiw,41190
v_g002_042530,-rgrgNqOaiw,42530
v_g002_042539,-rgrgNqOaiw,42539
v_g002_043922,-rgrgNqOaiw,43922
v_g002_043931,-rgrgNqOaiw,43931
v_g002_044872,-rgrgNqOaiw,44872
v_g002_044881,-rgrgNqOaiw,44881
v_g002_048880,-rgrgNqOaiw,48880
v_g002_048889,-rgrgNqOaiw,48889
v_g002_056164,-rgrgNqOaiw,56164
v_g002_056173,-rgrgNqOaiw,56173
v_g002_057148,-rgrgNqOaiw,57148
v_g002_057157,-rgrgNqOaiw,57157
v_g002_061117,-rgrgNqOaiw,61117
v_g002_061126,-rgrgNqOaiw,61126
v_g002_062103,-rgrgNqOaiw,62103
v_g002_062112,-rgrgNqOaiw,62112
v_g002_064687,-rgrgNqOaiw,64687
v_g002_064696,-rgrgNqOaiw,64696
v_g002_065608,-rgrgNqOaiw,65608
v_g002_065617,-rgrgNqOaiw,65617
v_g002_066105,-rgrgNqOaiw,66105
v_g002_066114,-rgrgNqOaiw,66114
v_g002_067186,-rgrgNqOaiw,67186
v_g002_067195,-rgrgNqOaiw,67195
