Generic ID,YouTube Video ID,Frame Number
v_g002_001932,-rgrgNqOaiw,1932
v_g002_001982,-rgrgNqOaiw,1982
v_g002_002696,-rgrgNqOaiw,2696
v_g002_014373,-rgrgNqOaiw,14373
v_g002_015078,-rgrgNqOaiw,15078
v_g002_017352,-rgrgNqOaiw,17352
v_g002_017402,-rgrgNqOaiw,17402
v_g002_018136,-rgrgNqOaiw,18136
v_g002_019346,-rgrgNqOaiw,19346
v_g002_019396,-rgrgNqOaiw,19396
v_g002_020147,-rgrgNqOaiw,20147
v_g002_024136,-rgrgNqOaiw,24136
v_g002_024703,-rgrgNqOaiw,24703
v_g002_024753,-rgrgNqOaiw,24753
v_g002_024835,-rgrgNqOaiw,24835
v_g002_025474,-rgrgNqOaiw,25474
v_g002_031093,-rgrgNqOaiw,31093
v_g002_031143,-rgrgNqOaiw,31143
v_g002_031842,-rgrgNqOaiw,31842
v_g002_033734,-rgrgNqOaiw,33734
v_g002_033784,-rgrgNqOaiw,33784
v_g002_034535,-rgrgNqOaiw,34535
v_g002_036248,-rgrgNqOaiw,36248
v_g002_036298,-rgrgNqOaiw,36298
v_g002_036994,-rgrgNqOaiw,36994
v_g002_039116,-rgrgNqOaiw,39116
v_g002_040731,-rgrgNqOaiw,40731
v_g002_040781,-rgrgNqOaiw,40781
v_g002_041466,-rgrgNqOaiw,41466
v_g002_042080,-rgrgNqOaiw,42080
v_g002_042130,-rgrgNqOaiw,42130
v_g002_042828,-rgrgNqOaiw,42828
v_g002_043472,-rgrgNqOaiw,43472
v_g002_043522,-rgrgNqOaiw,43522
v_g002_044177,-rgrgNqOaiw,44177
v_g002_044422,-rgrgNqOaiw,44422
v_g002_044472,-rgrgNqOaiw,44472
v_g002_045165,-rgrgNqOaiw,45165
v_g002_048430,-rgrgNqOaiw,48430
v_g002_048480,-rgrgNqOaiw,48480
v_g002_049169,-rgrgNqOaiw,49169
v_g002_055714,-rgrgNqOaiw,55714
v_g002_055764,-rgrgNqOaiw,55764
v_g002_056452,-rgrgNqOaiw,56452
v_g002_056698,-rgrgNqOaiw,56698
v_g002_056748,-rgrgNqOaiw,56748
v_g002_057437,-rgrgNqOaiw,57437
v_g002_060667,-rgrgNqOaiw,60667
v_g002_060717,-rgrgNqOaiw,60717
v_g002_061459,-rgrgNqOaiw,61459
v_g002_061653,-rgrgNqOaiw,61653
v_g002_061703,-rgrgNqOaiw,61703
v_g002_062394,-rgrgNqOaiw,62394
v_g002_064287,-rgrgNqOaiw,64287
v_g002_065158,-rgrgNqOaiw,65158
v_g002_065208,-rgrgNqOaiw,65208
v_g002_065705,-rgrgNqOaiw,65705
v_g002_066404,-rgrgNqOaiw,66404
v_g002_066736,-rgrgNqOaiw,66736
v_g002_066786,-rgrgNqOaiw,66786
v_g002_067471,-rgrgNqOaiw,67471
v_g002_068535,-rgrgNqOaiw,68535
v_g003_000058,5Dk2AOhEzZc,58
v_g003_000804,5Dk2AOhEzZc,804
v_g003_001220,5Dk2AOhEzZc,1220
v_g003_001771,5Dk2AOhEzZc,1771
v_g003_001821,5Dk2AOhEzZc,1821
v_g003_001890,5Dk2AOhEzZc,1890
v_g003_002487,5Dk2AOhEzZc,2487
v_g003_002508,5Dk2AOhEzZc,2508
v_g003_002558,5Dk2AOhEzZc,2558
v_g003_002911,5Dk2AOhEzZc,2911
v_g003_003266,5Dk2AOhEzZc,3266
v_g003_008806,5Dk2AOhEzZc,8806
v_g003_009890,5Dk2AOhEzZc,9890
v_g003_010558,5Dk2AOhEzZc,10558
v_g003_011557,5Dk2AOhEzZc,11557
v_g003_011607,5Dk2AOhEzZc,11607
v_g003_013582,5Dk2AOhEzZc,13582
v_g003_013632,5Dk2AOhEzZc,13632
v_g003_014809,5Dk2AOhEzZc,14809
v_g003_014859,5Dk2AOhEzZc,14859
v_g003_015583,5Dk2AOhEzZc,15583
v_g003_015663,5Dk2AOhEzZc,15663
v_g003_015713,5Dk2AOhEzZc,15713
v_g003_018054,5Dk2AOhEzZc,18054
v_g003_018723,5Dk2AOhEzZc,18723
v_g003_019151,5Dk2AOhEzZc,19151
v_g003_019201,5Dk2AOhEzZc,19201
v_g003_019871,5Dk2AOhEzZc,19871
v_g003_020747,5Dk2AOhEzZc,20747
v_g003_020797,5Dk2AOhEzZc,20797
v_g003_022493,5Dk2AOhEzZc,22493
v_g003_022543,5Dk2AOhEzZc,22543
v_g003_023211,5Dk2AOhEzZc,23211
v_g003_026780,5Dk2AOhEzZc,26780
v_g003_026830,5Dk2AOhEzZc,26830
v_g003_027532,5Dk2AOhEzZc,27532
v_g003_031451,5Dk2AOhEzZc,31451
v_g003_031641,5Dk2AOhEzZc,31641
v_g003_032132,5Dk2AOhEzZc,32132
v_g003_034348,5Dk2AOhEzZc,34348
v_g003_034398,5Dk2AOhEzZc,34398
v_g003_035064,5Dk2AOhEzZc,35064
v_g003_035316,5Dk2AOhEzZc,35316
v_g003_035366,5Dk2AOhEzZc,35366
v_g003_036051,5Dk2AOhEzZc,36051
v_g003_036513,5Dk2AOhEzZc,36513
v_g003_036836,5Dk2AOhEzZc,36836
v_g003_036886,5Dk2AOhEzZc,36886
v_g003_037183,5Dk2AOhEzZc,37183
v_g003_037570,5Dk2AOhEzZc,37570
v_g003_038148,5Dk2AOhEzZc,38148
v_g003_038484,5Dk2AOhEzZc,38484
v_g003_038534,5Dk2AOhEzZc,38534
v_g003_038824,5Dk2AOhEzZc,38824
v_g003_039205,5Dk2AOhEzZc,39205
v_g003_041326,5Dk2AOhEzZc,41326
v_g003_041376,5Dk2AOhEzZc,41376
v_g003_053265,5Dk2AOhEzZc,53265
v_g003_058159,5Dk2AOhEzZc,58159
v_g003_058209,5Dk2AOhEzZc,58209
v_g003_058890,5Dk2AOhEzZc,58890
v_g004_-000143,8KREdfRQnPQ,143
v_g004_-000193,8KREdfRQnPQ,193
v_g004_000549,8KREdfRQnPQ,549
v_g004_002815,8KREdfRQnPQ,2815
v_g004_004245,8KREdfRQnPQ,4245
v_g004_004966,8KREdfRQnPQ,4966
v_g004_004976,8KREdfRQnPQ,4976
v_g004_005016,8KREdfRQnPQ,5016
v_g004_007138,8KREdfRQnPQ,7138
v_g004_007188,8KREdfRQnPQ,7188
v_g004_007917,8KREdfRQnPQ,7917
v_g004_007967,8KREdfRQnPQ,7967
v_g004_010314,8KREdfRQnPQ,10314
v_g004_010678,8KREdfRQnPQ,10678
v_g004_010728,8KREdfRQnPQ,10728
v_g004_011011,8KREdfRQnPQ,11011
v_g004_011961,8KREdfRQnPQ,11961
v_g004_012646,8KREdfRQnPQ,12646
v_g004_013986,8KREdfRQnPQ,13986
v_g004_014533,8KREdfRQnPQ,14533
v_g004_014713,8KREdfRQnPQ,14713
v_g004_015216,8KREdfRQnPQ,15216
v_g004_016614,8KREdfRQnPQ,16614
v_g004_016664,8KREdfRQnPQ,16664
v_g004_017354,8KREdfRQnPQ,17354
v_g004_017989,8KREdfRQnPQ,17989
v_g004_018039,8KREdfRQnPQ,18039
v_g004_019706,8KREdfRQnPQ,19706
v_g004_019756,8KREdfRQnPQ,19756
v_g004_020439,8KREdfRQnPQ,20439
v_g004_021321,8KREdfRQnPQ,21321
v_g004_022169,8KREdfRQnPQ,22169
v_g004_022863,8KREdfRQnPQ,22863
v_g004_024601,8KREdfRQnPQ,24601
v_g004_025634,8KREdfRQnPQ,25634
v_g004_025684,8KREdfRQnPQ,25684
v_g004_026361,8KREdfRQnPQ,26361
v_g004_027180,8KREdfRQnPQ,27180
v_g004_027230,8KREdfRQnPQ,27230
v_g004_027918,8KREdfRQnPQ,27918
v_g004_028375,8KREdfRQnPQ,28375
v_g004_028425,8KREdfRQnPQ,28425
v_g004_031404,8KREdfRQnPQ,31404
v_g004_032101,8KREdfRQnPQ,32101
v_g004_033911,8KREdfRQnPQ,33911
v_g004_033961,8KREdfRQnPQ,33961
v_g004_034643,8KREdfRQnPQ,34643
v_g004_035058,8KREdfRQnPQ,35058
v_g004_035108,8KREdfRQnPQ,35108
v_g004_035839,8KREdfRQnPQ,35839
v_g004_036658,8KREdfRQnPQ,36658
v_g004_038902,8KREdfRQnPQ,38902
v_g004_039703,8KREdfRQnPQ,39703
v_g004_040268,8KREdfRQnPQ,40268
v_g004_040318,8KREdfRQnPQ,40318
v_g004_041054,8KREdfRQnPQ,41054
v_g004_041860,8KREdfRQnPQ,41860
v_g004_041956,8KREdfRQnPQ,41956
v_g004_042006,8KREdfRQnPQ,42006
v_g004_042674,8KREdfRQnPQ,42674
v_g004_043184,8KREdfRQnPQ,43184
v_g004_043234,8KREdfRQnPQ,43234
v_g004_043910,8KREdfRQnPQ,43910
v_g004_044581,8KREdfRQnPQ,44581
v_g004_049073,8KREdfRQnPQ,49073
v_g004_049123,8KREdfRQnPQ,49123
v_g004_049810,8KREdfRQnPQ,49810
v_g004_050058,8KREdfRQnPQ,50058
v_g004_050108,8KREdfRQnPQ,50108
v_g004_050859,8KREdfRQnPQ,50859
v_g004_051370,8KREdfRQnPQ,51370
v_g004_052062,8KREdfRQnPQ,52062
v_g004_053060,8KREdfRQnPQ,53060
v_g004_053110,8KREdfRQnPQ,53110
v_g004_053776,8KREdfRQnPQ,53776
v_g005_002627,8_pJ13DFPIY,2627
v_g005_002677,8_pJ13DFPIY,2677
v_g005_003299,8_pJ13DFPIY,3299
v_g005_003349,8_pJ13DFPIY,3349
v_g005_003404,8_pJ13DFPIY,3404
v_g005_003957,8_pJ13DFPIY,3957
v_g005_004007,8_pJ13DFPIY,4007
v_g005_004063,8_pJ13DFPIY,4063
v_g005_004711,8_pJ13DFPIY,4711
v_g005_005560,8_pJ13DFPIY,5560
v_g005_005610,8_pJ13DFPIY,5610
v_g005_006334,8_pJ13DFPIY,6334
v_g005_007998,8_pJ13DFPIY,7998
v_g005_008048,8_pJ13DFPIY,8048
v_g005_008784,8_pJ13DFPIY,8784
v_g005_009404,8_pJ13DFPIY,9404
v_g005_009454,8_pJ13DFPIY,9454
v_g005_010078,8_pJ13DFPIY,10078
v_g005_010128,8_pJ13DFPIY,10128
v_g005_010706,8_pJ13DFPIY,10706
v_g005_010756,8_pJ13DFPIY,10756
v_g005_011469,8_pJ13DFPIY,11469
v_g005_012756,8_pJ13DFPIY,12756
v_g005_012806,8_pJ13DFPIY,12806
v_g005_013557,8_pJ13DFPIY,13557
v_g005_014492,8_pJ13DFPIY,14492
v_g005_014542,8_pJ13DFPIY,14542
v_g005_015250,8_pJ13DFPIY,15250
v_g005_022576,8_pJ13DFPIY,22576
v_g005_022626,8_pJ13DFPIY,22626
v_g005_023377,8_pJ13DFPIY,23377
v_g005_027355,8_pJ13DFPIY,27355
v_g005_027405,8_pJ13DFPIY,27405
v_g005_027961,8_pJ13DFPIY,27961
v_g005_028121,8_pJ13DFPIY,28121
v_g005_028601,8_pJ13DFPIY,28601
v_g005_028651,8_pJ13DFPIY,28651
v_g005_028694,8_pJ13DFPIY,28694
v_g005_029372,8_pJ13DFPIY,29372
v_g005_029501,8_pJ13DFPIY,29501
v_g005_029551,8_pJ13DFPIY,29551
v_g005_030262,8_pJ13DFPIY,30262
v_g005_030797,8_pJ13DFPIY,30797
v_g005_030847,8_pJ13DFPIY,30847
v_g005_031598,8_pJ13DFPIY,31598
v_g005_032208,8_pJ13DFPIY,32208
v_g005_032258,8_pJ13DFPIY,32258
v_g005_032971,8_pJ13DFPIY,32971
v_g005_034277,8_pJ13DFPIY,34277
v_g005_034327,8_pJ13DFPIY,34327
v_g005_035026,8_pJ13DFPIY,35026
v_g005_038623,8_pJ13DFPIY,38623
v_g005_040094,8_pJ13DFPIY,40094
v_g005_040144,8_pJ13DFPIY,40144
v_g005_040895,8_pJ13DFPIY,40895
v_g005_041812,8_pJ13DFPIY,41812
v_g005_041862,8_pJ13DFPIY,41862
v_g005_042719,8_pJ13DFPIY,42719
v_g005_042769,8_pJ13DFPIY,42769
v_g005_043493,8_pJ13DFPIY,43493
v_g005_043683,8_pJ13DFPIY,43683
v_g005_043733,8_pJ13DFPIY,43733
